Names
PAMP
PAMP_I
PAMP_II
PAMP_V1
PAMP_V2
PAMP_V3
PAMP_V4
PAMP_V5
PAMP_V6
PAMP_III
PAMP_aVR
PAMP_aVL
PAMP_aVF
PDUR
PDUR_I
PDUR_II
PDUR_V1
PDUR_V2
PDUR_V3
PDUR_V4
PDUR_V5
PDUR_V6
PDUR_III
PDUR_aVR
PDUR_aVL
PDUR_aVF
PAREA
PAREA_I
PAREA_II
PAREA_V1
PAREA_V2
PAREA_V3
PAREA_V4
PAREA_V5
PAREA_V6
PAREA_III
PAREA_aVR
PAREA_aVL
PAREA_aVF
bmPAR
bmPAR_I
bmPAR_II
bmPAR_V1
bmPAR_V2
bmPAR_V3
bmPAR_V4
bmPAR_V5
bmPAR_V6
bmPAR_III
bmPAR_aVR
bmPAR_aVL
bmPAR_aVF
bmPI
bmPI_I
bmPI_II
bmPI_V1
bmPI_V2
bmPI_V3
bmPI_V4
bmPI_V5
bmPI_V6
bmPI_III
bmPI_aVR
bmPI_aVL
bmPI_aVF
P'AMP
P'AMP_I
P'AMP_II
P'AMP_V1
P'AMP_V2
P'AMP_V3
P'AMP_V4
P'AMP_V5
P'AMP_V6
P'AMP_III
P'AMP_aVR
P'AMP_aVL
P'AMP_aVF
P'DUR
P'DUR_I
P'DUR_II
P'DUR_V1
P'DUR_V2
P'DUR_V3
P'DUR_V4
P'DUR_V5
P'DUR_V6
P'DUR_III
P'DUR_aVR
P'DUR_aVL
P'DUR_aVF
bmPPAR
bmPPAR_I
bmPPAR_II
bmPPAR_V1
bmPPAR_V2
bmPPAR_V3
bmPPAR_V4
bmPPAR_V5
bmPPAR_V6
bmPPAR_III
bmPPAR_aVR
bmPPAR_aVL
bmPPAR_aVF
bmPPI
bmPPI_I
bmPPI_II
bmPPI_V1
bmPPI_V2
bmPPI_V3
bmPPI_V4
bmPPI_V5
bmPPI_V6
bmPPI_III
bmPPI_aVR
bmPPI_aVL
bmPPI_aVF
QAMP
QAMP_I
QAMP_II
QAMP_V1
QAMP_V2
QAMP_V3
QAMP_V4
QAMP_V5
QAMP_V6
QAMP_III
QAMP_aVR
QAMP_aVL
QAMP_aVF
QDUR
QDUR_I
QDUR_II
QDUR_V1
QDUR_V2
QDUR_V3
QDUR_V4
QDUR_V5
QDUR_V6
QDUR_III
QDUR_aVR
QDUR_aVL
QDUR_aVF
bmQAR
bmQAR_I
bmQAR_II
bmQAR_V1
bmQAR_V2
bmQAR_V3
bmQAR_V4
bmQAR_V5
bmQAR_V6
bmQAR_III
bmQAR_aVR
bmQAR_aVL
bmQAR_aVF
bmQI
bmQI_I
bmQI_II
bmQI_V1
bmQI_V2
bmQI_V3
bmQI_V4
bmQI_V5
bmQI_V6
bmQI_III
bmQI_aVR
bmQI_aVL
bmQI_aVF
RAMP
RAMP_I
RAMP_II
RAMP_V1
RAMP_V2
RAMP_V3
RAMP_V4
RAMP_V5
RAMP_V6
RAMP_III
RAMP_aVR
RAMP_aVL
RAMP_aVF
RDUR
RDUR_I
RDUR_II
RDUR_V1
RDUR_V2
RDUR_V3
RDUR_V4
RDUR_V5
RDUR_V6
RDUR_III
RDUR_aVR
RDUR_aVL
RDUR_aVF
bmRAR
bmRAR_I
bmRAR_II
bmRAR_V1
bmRAR_V2
bmRAR_V3
bmRAR_V4
bmRAR_V5
bmRAR_V6
bmRAR_III
bmRAR_aVR
bmRAR_aVL
bmRAR_aVF
bmRI
bmRI_I
bmRI_II
bmRI_V1
bmRI_V2
bmRI_V3
bmRI_V4
bmRI_V5
bmRI_V6
bmRI_III
bmRI_aVR
bmRI_aVL
bmRI_aVF
SAMP
SAMP_I
SAMP_II
SAMP_V1
SAMP_V2
SAMP_V3
SAMP_V4
SAMP_V5
SAMP_V6
SAMP_III
SAMP_aVR
SAMP_aVL
SAMP_aVF
SDUR
SDUR_I
SDUR_II
SDUR_V1
SDUR_V2
SDUR_V3
SDUR_V4
SDUR_V5
SDUR_V6
SDUR_III
SDUR_aVR
SDUR_aVL
